,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,month,day,hour_UTC,minute_UTC
2351,Advanced Saxophone Studies - Learn to Master the Saxophone!,True,50,215,5,80,Intermediate Level,4.0,Musical Instruments,2014,3,18,2,25
2352,Killer Harmonica sounds using the tongue and bending notes ,True,35,80,2,16,Intermediate Level,2.0,Musical Instruments,2014,3,17,15,18
2353,Instant Harmonica - play When the Saints on harmonica now!,True,20,31,1,10,Beginner Level,1.0,Musical Instruments,2015,8,14,18,30
2354,Strumming the Guitar - 5 Lessons on Strum Patterns,True,20,56,3,10,Beginner Level,0.6333333333333333,Musical Instruments,2013,12,13,1,34
2355,Learn Piano Online-Keys to the Keyboard,True,50,18,1,9,Beginner Level,2.0,Musical Instruments,2016,5,12,17,52
2356,Ukulele Lessons For Beginners - Fast Track Your Learning,True,20,57,8,28,Beginner Level,1.0,Musical Instruments,2016,6,9,4,54
2357,Blues Guitar Lessons - Ragtime Blues Guitar,True,20,59,3,6,Expert Level,2.0,Musical Instruments,2013,11,26,16,12
2358,Getting Started with Power Chords,True,20,6,0,27,Beginner Level,1.0,Musical Instruments,2015,12,17,20,36
2359,Blues Master - Professional Techniques Piano Course,True,75,4,0,16,All Levels,1.0,Musical Instruments,2016,3,29,0,11
2360,Drumming 101: The Essential Elements,True,50,4,0,17,Beginner Level,1.5,Musical Instruments,2017,5,2,13,26
2361,Flute Lessons For Beginners,True,95,3,0,41,Beginner Level,2.5,Musical Instruments,2016,3,9,0,34
2362,Guitar for Christmas!,True,20,7,0,17,Beginner Level,0.5333333333333333,Musical Instruments,2014,11,30,20,48
2363,Learn Piano Online-Nocturnal Piano Solo,True,60,2,0,11,Intermediate Level,1.5,Musical Instruments,2016,9,21,4,58
2364,Guitar Chords and Basic Strumming,True,20,3,0,35,Beginner Level,2.5,Musical Instruments,2015,12,17,18,14
2365,Getting Started on the Acoustic Guitar,True,20,3,0,28,Beginner Level,1.0,Musical Instruments,2015,10,20,20,2
2366,Learn Piano Online-In the Garden Piano Solo,True,60,1,0,11,Intermediate Level,1.0,Musical Instruments,2016,10,3,22,36
2367,Saxophone Essentials: Beginners Course,True,40,3,0,16,Beginner Level,1.5,Musical Instruments,2017,4,26,17,28
2368,Learn To Play The Guitar In A Day,True,20,3,1,14,Beginner Level,1.0,Musical Instruments,2015,1,9,3,55
2369,88 Logic - The Essential Guide To Learning Piano,True,25,3,0,5,Beginner Level,0.5333333333333333,Musical Instruments,2015,1,13,15,45
2370,Tuba Solos: Learn how to Perform Three Fun and Unique Pieces,True,50,164,0,20,Intermediate Level,2.0,Musical Instruments,2015,4,15,18,0
2371,Instant Harmonica - play Dylan's Like a Rolling Stone now!,True,40,28,2,11,All Levels,1.5,Musical Instruments,2016,10,27,19,48
2372,Advanced Oboe Studies - Become a Master Oboist!​,True,50,47,0,82,Expert Level,4.0,Musical Instruments,2016,7,28,2,46
2373,Instant Harmonica - play 'I just called to say I love you',True,40,15,0,11,All Levels,1.0,Musical Instruments,2017,2,15,20,44
2374,Jazz piano improvisation: The girl form Ipanema. Bossa nova,True,30,151,1,5,All Levels,0.55,Musical Instruments,2014,10,16,12,34
2375,Drum Lessons For Beginners,True,95,14,1,34,Beginner Level,2.5,Musical Instruments,2016,4,13,21,2
2376,Piano With Willie: Jazz Kids - Vol 3,True,40,16,1,29,Beginner Level,3.0,Musical Instruments,2016,4,13,6,1
2377,Quick Piano Lessons - Tutorials for Drake's Greatest Hits,True,35,19,1,4,All Levels,0.55,Musical Instruments,2015,10,4,21,39
2378,"Bluegrass Guitar Essentials: Webisodes 13, 14, & 15",True,30,14,1,13,Intermediate Level,1.5,Musical Instruments,2016,12,15,3,58
2379,Guitar - Rock - Beginner with Marc Seal,True,20,40,1,27,All Levels,1.0,Musical Instruments,2012,8,31,22,6
2380,"Oboe Solos: Learn to Perform Three Fun, Unique Pieces!",True,50,41,0,43,All Levels,2.0,Musical Instruments,2016,7,28,3,10
2381,Bluegrass Guitar Essentials: Webisodes 11 & 12,True,30,9,1,24,All Levels,2.0,Musical Instruments,2016,10,22,0,2
2382,Advanced Horn Studies - Learn to Master the French Horn!​,True,50,46,0,91,All Levels,7.0,Musical Instruments,2015,9,23,17,14
2383,Learn To Play Guitar Complete Beginners Quick Start,True,20,75,0,11,Beginner Level,1.0,Musical Instruments,2013,10,16,16,25
2384,Piano With Willie: Jazz Kids - Vol 4,True,40,19,0,30,Intermediate Level,3.5,Musical Instruments,2016,4,13,6,13
2385,Instant Harmonica - play the old Popeye Spinach song now !,True,20,22,0,10,Beginner Level,0.6,Musical Instruments,2015,10,19,0,15
2386,Piano With Willie: Jazz Kids - Vol 2,True,40,17,0,38,Beginner Level,3.0,Musical Instruments,2016,4,13,5,57
2387,Practice guitar with no previous experience and become a pro,True,30,26,0,14,Beginner Level,1.0,Musical Instruments,2017,1,13,17,26
2388,The Music Coach Online Spirit Drum Course,True,95,2,0,86,Beginner Level,5.5,Musical Instruments,2017,5,4,16,44
2389,Make Electronic Music with the iPad,True,20,13,0,69,Beginner Level,1.5,Musical Instruments,2016,4,1,6,53
2390,Learn Loreena McKennitt Songs-Quicklessons Piano Course,True,20,1,0,6,All Levels,0.5666666666666667,Musical Instruments,2017,5,29,3,40
